Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
2017-2018,All,20-29,All,Potassium,"2,477.10",69.9,"2,339.10","2,615.10",,,,
2017-2018,All,30-39,All,Potassium,"2,654.10",58.8,"2,537.90","2,770.20",,,,
2017-2018,All,40-49,All,Potassium,"2,671.40",79.1,"2,515.20","2,827.60",,,,
2017-2018,All,50-59,All,Potassium,"2,678.90",92.7,"2,495.90","2,862.00",,,,
2017-2018,All,60-69,All,Potassium,"2,617.00",76,"2,466.90","2,767.20",,,,
2017-2018,All,70 and over,All,Potassium,"2,621.70",63.2,"2,496.90","2,746.60",,,,
2017-2018,Female,19-Feb,All,Potassium,"1,944.40",33.9,"2,011.30","1,877.40",,,,
2017-2018,Female,5-Feb,All,Potassium,"1,901.70",61.9,"1,779.50","2,024.00",,,,
2017-2018,Female,11-Jun,All,Potassium,"2,051.20",64.8,"1,923.10","2,179.30",,,,
2017-2018,Female,19-Dec,All,Potassium,"1,884.50",59.9,"1,766.20","2,002.90",,,,
2017-2018,Female,20 and over,All,Potassium,"2,324.30",52.8,"2,428.70","2,219.90",,,,
2017-2018,Female,20-29,All,Potassium,"2,308.70",92.1,"2,126.60","2,490.70",,,,
2017-2018,Female,30-39,All,Potassium,"2,309.60",87.1,"2,137.50","2,481.70",,,,
2017-2018,Female,40-49,All,Potassium,"2,287.60",79.2,"2,131.10","2,444.00",,,,
2017-2018,Female,50-59,All,Potassium,"2,345.90",120.4,"2,108.10","2,583.80",,,,
2017-2018,Female,60-69,All,Potassium,"2,364.30",87.6,"2,191.20","2,537.40",,,,
2017-2018,Female,70 and over,All,Potassium,"2,328.60",69.6,"2,191.00","2,466.10",,,,
2017-2018,Male,19-Feb,All,Potassium,"2,259.10",49.8,"2,357.50","2,160.60",,,,
2017-2018,Male,5-Feb,All,Potassium,"2,089.40",81.8,"1,927.80","2,251.00",,,,
2017-2018,Male,11-Jun,All,Potassium,"2,125.50",56.3,"2,014.30","2,236.70",,,,
2017-2018,Male,19-Dec,All,Potassium,"2,434.20",86.1,"2,264.10","2,604.30",,,,
2017-2018,Male,20 and over,All,Potassium,"2,936.50",37.3,"3,010.20","2,862.90",,,,
2017-2018,Male,20-29,All,Potassium,"2,643.30",116.1,"2,414.00","2,872.60",,,,
2017-2018,Male,30-39,All,Potassium,"3,041.70",82.5,"2,878.90","3,204.60",,,,
2017-2018,Male,40-49,All,Potassium,"3,052.60",141.8,"2,772.40","3,332.80",,,,
2017-2018,Male,50-59,All,Potassium,"3,033.60",79.9,"2,875.70","3,191.50",,,,
2017-2018,Male,60-69,All,Potassium,"2,910.50",90.7,"2,731.30","3,089.80",,,,
2017-2018,Male,70 and over,All,Potassium,"2,980.60",112,"2,759.40","3,201.90",,,,
2017-2018,All,19-Feb,All,Saturated Fat,27.5,0.4,26.8,28.3,,,,
2017-2018,All,19-Feb,Non-Hispanic White,Saturated Fat,28.3,0.4,27.5,29.1,,,,
2017-2018,All,19-Feb,Non-Hispanic Black,Saturated Fat,28.4,1.6,25.1,31.6,,,,
2017-2018,All,19-Feb,Non-Hispanic Asian,Saturated Fat,25.7,1.8,22.3,29.2,,,,
2017-2018,All,19-Feb,Hispanic,Saturated Fat,25.2,1,23.3,27.1,,,,
2017-2018,All,19-Feb,Mexican American,Saturated Fat,26.2,1.2,23.9,28.6,,,,
2017-2018,All,5-Feb,All,Saturated Fat,20.5,0.5,19.5,21.5,,,,
2017-2018,All,11-Jun,All,Saturated Fat,26.9,0.7,25.4,28.3,,,,
2017-2018,All,19-Dec,All,Saturated Fat,27.5,0.4,26.8,28.3,,,,
2017-2018,All,20 and over,All,Saturated Fat,28.7,0.3,28,29.3,,,,
2017-2018,All,20 and over,Non-Hispanic White,Saturated Fat,30,0.5,29.1,31,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Saturated Fat,27,0.6,25.9,28.1,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Saturated Fat,22,0.6,20.7,23.2,,,,
2017-2018,All,20 and over,Hispanic,Saturated Fat,26.8,0.8,25.2,28.3,,,,
2017-2018,All,20 and over,Mexican American,Saturated Fat,27.3,0.7,25.9,28.7,,,,
2017-2018,All,20-29,All,Saturated Fat,29.5,0.8,28,31,,,,
2017-2018,All,30-39,All,Saturated Fat,29.4,0.8,27.7,31,,,,
2017-2018,All,40-49,All,Saturated Fat,30.1,1.1,27.9,32.3,,,,
2017-2018,All,50-59,All,Saturated Fat,28.3,0.7,26.8,29.7,,,,
2017-2018,All,60-69,All,Saturated Fat,28.8,1.2,26.5,31.1,,,,
2017-2018,All,70 and over,All,Saturated Fat,25.7,0.8,24.2,27.2,,,,
2017-2018,Female,19-Feb,All,Saturated Fat,23.9,0.8,22.2,25.5,,,,
2017-2018,Female,5-Feb,All,Saturated Fat,18.5,0.8,16.8,20.1,,,,
2017-2018,Female,11-Jun,All,Saturated Fat,25.7,0.6,24.4,26.9,,,,
2017-2018,Female,19-Dec,All,Saturated Fat,23.9,0.8,22.2,25.5,,,,
2017-2018,Female,20 and over,All,Saturated Fat,24.7,0.5,23.8,25.7,,,,
2017-2018,Female,20-29,All,Saturated Fat,27.5,0.7,26.2,28.8,,,,
2017-2018,Female,30-39,All,Saturated Fat,25,0.9,23.2,26.7,,,,
2017-2018,Female,40-49,All,Saturated Fat,26,1.6,22.9,29.1,,,,
2017-2018,Female,50-59,All,Saturated Fat,24.1,1.3,21.5,26.6,,,,
2017-2018,Female,60-69,All,Saturated Fat,23.4,1.3,20.7,26.1,,,,
2017-2018,Female,70 and over,All,Saturated Fat,22,0.8,20.4,23.5,,,,
2017-2018,Male,19-Feb,All,Saturated Fat,31,0.7,29.6,32.3,,,,
2017-2018,Male,5-Feb,All,Saturated Fat,22.5,0.9,20.7,24.2,,,,
2017-2018,Male,11-Jun,All,Saturated Fat,28.1,1,26,30.1,,,,
2017-2018,Male,19-Dec,All,Saturated Fat,31,0.7,29.6,32.3,,,,
2017-2018,Male,20 and over,All,Saturated Fat,33,0.4,32.2,33.8,,,,
2017-2018,Male,20-29,All,Saturated Fat,31.4,1.2,29.1,33.8,,,,
2017-2018,Male,30-39,All,Saturated Fat,34.3,1.5,31.3,37.3,,,,
2017-2018,Male,40-49,All,Saturated Fat,34.1,1.6,31,37.3,,,,
2017-2018,Male,50-59,All,Saturated Fat,32.8,1.2,30.4,35.1,,,,
2017-2018,Male,60-69,All,Saturated Fat,35,1.5,32,38,,,,
2017-2018,Male,70 and over,All,Saturated Fat,30.3,1.3,27.7,32.8,,,,
2017-2018,All,19-Feb,All,Sodium,"3,320.10",81.3,"3,159.40","3,480.80",,,,
2017-2018,All,19-Feb,Non-Hispanic White,Sodium,"3,368.40",145.7,"3,080.70","3,656.20",,,,
2017-2018,All,19-Feb,Non-Hispanic Black,Sodium,"3,344.40",186.5,"2,976.00","3,712.90",,,,
2017-2018,All,19-Feb,Non-Hispanic Asian,Sodium,"3,379.70",188.2,"3,008.00","3,751.40",,,,
2017-2018,All,19-Feb,Hispanic,Sodium,"3,149.90",92.3,"2,967.60","3,332.20",,,,
2017-2018,All,19-Feb,Mexican American,Sodium,"3,309.00",91.6,"3,128.00","3,489.90",,,,
2017-2018,All,5-Feb,All,Sodium,"2,170.90",58.3,"2,055.80","2,286.10",,,,
2017-2018,All,11-Jun,All,Sodium,"2,899.30",86,"2,729.50","3,069.20",,,,
2017-2018,All,19-Dec,All,Sodium,"3,320.10",81.3,"3,159.40","3,480.80",,,,
2017-2018,All,20 and over,All,Sodium,"3,531.00",38.5,"3,454.90","3,607.20",,,,
2017-2018,All,20 and over,Non-Hispanic White,Sodium,"3,526.20",62.2,"3,403.40","3,649.10",,,,
2017-2018,All,20 and over,Non-Hispanic Black,Sodium,"3,395.60",55.5,"3,286.00","3,505.20",,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Sodium,"3,570.60",110.3,"3,352.80","3,788.50",,,,
2017-2018,All,20 and over,Hispanic,Sodium,"3,603.20",88.2,"3,429.10","3,777.40",,,,
2017-2018,All,20 and over,Mexican American,Sodium,"3,678.30",84.2,"3,512.00","3,844.60",,,,
2017-2018,All,20-29,All,Sodium,"3,775.20",94.6,"3,588.20","3,962.20",,,,
2017-2018,All,30-39,All,Sodium,"3,741.10",74.3,"3,594.30","3,887.90",,,,
2017-2018,All,40-49,All,Sodium,"3,617.60",120.2,"3,380.10","3,855.10",,,,
2017-2018,All,50-59,All,Sodium,"3,492.30",122.2,"3,250.80","3,733.80",,,,
2017-2018,All,60-69,All,Sodium,"3,390.20",86.3,"3,219.80","3,560.70",,,,
2017-2018,All,70 and over,All,Sodium,"3,050.50",54.3,"2,943.30","3,157.80",,,,
2017-2018,Female,19-Feb,All,Sodium,"2,872.70",112,"2,651.40","3,094.00",,,,
2017-2018,Female,5-Feb,All,Sodium,"1,994.00",56.6,"1,882.30","2,105.70",,,,
2017-2018,Female,11-Jun,All,Sodium,"2,742.00",99.6,"2,545.30","2,938.80",,,,
2017-2018,Female,19-Dec,All,Sodium,"2,872.70",112,"2,651.40","3,094.00",,,,
2017-2018,Female,20 and over,All,Sodium,"2,986.60",46.2,"2,895.30","3,077.80",,,,
2017-2018,Female,20-29,All,Sodium,"3,325.70",77.1,"3,173.40","3,478.00",,,,
2017-2018,Female,30-39,All,Sodium,"3,149.50",80.9,"2,989.60","3,309.40",,,,
2017-2018,Female,40-49,All,Sodium,"2,983.90",123.9,"2,739.20","3,228.60",,,,
2017-2018,Female,50-59,All,Sodium,"2,843.30",156.7,"2,533.80","3,152.80",,,,
2017-2018,Female,60-69,All,Sodium,"2,838.10",86.6,"2,667.00","3,009.20",,,,
2017-2018,Female,70 and over,All,Sodium,"2,723.40",84.7,"2,556.10","2,890.60",,,,
2017-2018,Male,19-Feb,All,Sodium,"3,737.40",101,"3,537.80","3,937.00",,,,
2017-2018,Male,5-Feb,All,Sodium,"2,342.20",93.5,"2,157.60","2,526.90",,,,
2017-2018,Male,11-Jun,All,Sodium,"3,052.10",99.9,"2,854.70","3,249.50",,,,
2017-2018,Male,19-Dec,All,Sodium,"3,737.40",101,"3,537.80","3,937.00",,,,
2017-2018,Male,20 and over,All,Sodium,"4,120.60",57.1,"4,007.90","4,233.30",,,,
2017-2018,Male,20-29,All,Sodium,"4,218.60",185.8,"3,851.60","4,585.60",,,,
2017-2018,Male,30-39,All,Sodium,"4,406.90",129.2,"4,151.70","4,662.10",,,,
2017-2018,Male,40-49,All,Sodium,"4,246.90",182.7,"3,885.90","4,607.90",,,,
2017-2018,Male,50-59,All,Sodium,"4,183.60",167.6,"3,852.50","4,514.70",,,,
2017-2018,Male,60-69,All,Sodium,"4,031.40",135.6,"3,763.50","4,299.40",,,,
2017-2018,Male,70 and over,All,Sodium,"3,451.00",81.2,"3,290.50","3,611.40",,,,
2017-2018,All,19-Feb,All,Vitamin D,4.2,0.2,3.7,4.7,,,,
2017-2018,All,19-Feb,Non-Hispanic White,Vitamin D,4.2,0.4,3.5,4.8,,,,
2017-2018,All,19-Feb,Non-Hispanic Black,Vitamin D,3.9,0.3,3.2,4.5,,,,
2017-2018,All,19-Feb,Non-Hispanic Asian,Vitamin D,4.6,0.6,3.5,5.6,,,,
2017-2018,All,19-Feb,Hispanic,Vitamin D,4.5,0.4,3.7,5.3,,,,
2017-2018,All,19-Feb,Mexican American,Vitamin D,4.8,0.4,3.9,5.7,,,,
2017-2018,All,5-Feb,All,Vitamin D,5.3,0.2,4.9,5.7,,,,
2017-2018,All,11-Jun,All,Vitamin D,5,0.2,4.7,5.3,,,,
2017-2018,All,19-Dec,All,Vitamin D,4.2,0.2,3.7,4.7,,,,
2017-2018,All,20 and over,All,Vitamin D,4.2,0.1,3.9,4.5,,,,
2017-2018,All,20 and over,Non-Hispanic White,Vitamin D,4.2,0.2,3.8,4.6,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Vitamin D,3.7,0.2,3.4,4.1,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Vitamin D,4.9,0.4,4.2,5.7,,,,
2017-2018,All,20 and over,Hispanic,Vitamin D,4.3,0.2,3.8,4.8,,,,
2017-2018,All,20 and over,Mexican American,Vitamin D,4.3,0.2,3.9,4.8,,,,
2017-2018,All,20-29,All,Vitamin D,4.3,0.3,3.8,4.8,,,,
2017-2018,All,30-39,All,Vitamin D,3.8,0.3,3.3,4.3,,,,
2017-2018,All,40-49,All,Vitamin D,4.1,0.3,3.5,4.6,,,,
2017-2018,All,50-59,All,Vitamin D,4,0.3,3.4,4.5,,,,
2017-2018,All,60-69,All,Vitamin D,4.2,0.4,3.5,4.9,,,,
2017-2018,All,70 and over,All,Vitamin D,5.1,0.5,4.1,6.2,,,,
2017-2018,Female,19-Feb,All,Vitamin D,3.3,0.2,2.8,3.8,,,,
2017-2018,Female,5-Feb,All,Vitamin D,5.1,0.3,4.5,5.7,,,,
2017-2018,Female,11-Jun,All,Vitamin D,4.7,0.2,4.3,5.1,,,,
2017-2018,Female,19-Dec,All,Vitamin D,3.3,0.2,2.8,3.8,,,,
2017-2018,Female,20 and over,All,Vitamin D,3.7,0.2,3.4,4.1,,,,
2017-2018,Female,20-29,All,Vitamin D,3.8,0.3,3.2,4.3,,,,
2017-2018,Female,30-39,All,Vitamin D,3.3,0.3,2.8,3.9,,,,
2017-2018,Female,40-49,All,Vitamin D,3.8,0.3,3.3,4.4,,,,
2017-2018,Female,50-59,All,Vitamin D,3.6,0.4,2.9,4.3,,,,
2017-2018,Female,60-69,All,Vitamin D,3.6,0.4,2.9,4.4,,,,
2017-2018,Female,70 and over,All,Vitamin D,4.2,0.3,3.6,4.8,,,,
2017-2018,Male,19-Feb,All,Vitamin D,5,0.3,4.5,5.6,,,,
2017-2018,Male,5-Feb,All,Vitamin D,5.5,0.2,5.1,6,,,,
2017-2018,Male,11-Jun,All,Vitamin D,5.3,0.3,4.8,5.8,,,,
2017-2018,Male,19-Dec,All,Vitamin D,5,0.3,4.5,5.6,,,,
2017-2018,Male,20 and over,All,Vitamin D,4.8,0.2,4.4,5.1,,,,
2017-2018,Male,20-29,All,Vitamin D,4.8,0.5,3.8,5.7,,,,
2017-2018,Male,30-39,All,Vitamin D,4.4,0.4,3.6,5.1,,,,
2017-2018,Male,40-49,All,Vitamin D,4.3,0.4,3.5,5.1,,,,
2017-2018,Male,50-59,All,Vitamin D,4.3,0.3,3.7,4.9,,,,
2017-2018,Male,60-69,All,Vitamin D,4.9,0.5,4,5.8,,,,
2017-2018,Male,70 and over,All,Vitamin D,6.2,1,4.2,8.3,,,,
1999-2000,All,2 and over,All,Calcium,855.8,14.3,827.6,884.1,,,,
1999-2000,Male,2 and over,All,Calcium,961,14.1,933.2,988.9,,,,
1999-2000,Female,2 and over,All,Calcium,755.7,15.6,725,786.5,,,,
2001-2002,All,2 and over,All,Calcium,900.4,15.8,869.2,931.6,,,,
2001-2002,Male,2 and over,All,Calcium,"1,024.90",22.9,979.7,"1,070.00",,,,
2001-2002,Female,2 and over,All,Calcium,782.1,13.7,755,809.3,,,,
2003-2004,All,2 and over,All,Calcium,917.8,16.6,884.9,950.6,,,,
2003-2004,Male,2 and over,All,Calcium,"1,029.20",20.1,989.5,"1,068.80",,,,
2003-2004,Female,2 and over,All,Calcium,810.8,16.8,777.6,844,,,,
2005-2006,All,2 and over,All,Calcium,969.6,18.9,932.3,"1,007.00",,,,
2005-2006,Male,2 and over,All,Calcium,"1,080.90",20.1,"1,041.10","1,120.60",,,,
2005-2006,Female,2 and over,All,Calcium,863.7,20.6,823,904.5,,,,
2007-2008,All,2 and over,All,Calcium,945.9,20.2,906,985.9,,,,
2007-2008,Male,2 and over,All,Calcium,"1,052.00",22.1,"1,008.40","1,095.60",,,,
2007-2008,Female,2 and over,All,Calcium,848.4,22.9,803.1,893.6,,,,
2009-2010,All,2 and over,All,Calcium,"1,028.60",7.1,"1,014.60","1,042.70",,,,
2009-2010,Male,2 and over,All,Calcium,"1,150.30",11.9,"1,126.90","1,173.80",,,,
2009-2010,Female,2 and over,All,Calcium,913,7.9,897.4,928.6,,,,
2011-2012,All,2 and over,All,Calcium,"1,012.20",13.8,985,"1,039.40",,,,
2011-2012,Male,2 and over,All,Calcium,"1,137.10",21.2,"1,095.20","1,179.00",,,,
2011-2012,Female,2 and over,All,Calcium,890.5,12.9,865,916,,,,
2013-2014,All,2 and over,All,Calcium,978.4,11.2,956.3,"1,000.50",,,,
2013-2014,Male,2 and over,All,Calcium,"1,098.00",13.8,"1,070.70","1,125.20",,,,
2013-2014,Female,2 and over,All,Calcium,862.6,10.3,842.3,882.9,,,,
2015-2016,All,2 and over,All,Calcium,956.4,19.1,918.8,994.1,,,,
2015-2016,Male,2 and over,All,Calcium,"1,062.20",19.9,"1,022.80","1,101.60",,,,
2015-2016,Female,2 and over,All,Calcium,856,18.4,819.7,892.3,,,,
2017-2018,All,2 and over,All,Calcium,967.8,13.1,942,993.6,,,,
2017-2018,Male,2 and over,All,Calcium,"1,078.40",16.9,"1,045.10","1,111.80",,,,
2017-2018,Female,2 and over,All,Calcium,862.5,15.2,832.4,892.6,,,,
1999-2000,All,2 and over,All,Dietary Fiber,14.8,0.4,14.1,15.6,,,,
1999-2000,Male,2 and over,All,Dietary Fiber,16.5,0.4,15.7,17.3,,,,
1999-2000,Female,2 and over,All,Dietary Fiber,13.3,0.5,12.3,14.2,,,,
2001-2002,All,2 and over,All,Dietary Fiber,15.3,0.3,14.6,15.9,,,,
2001-2002,Male,2 and over,All,Dietary Fiber,16.9,0.5,16,17.8,,,,
2001-2002,Female,2 and over,All,Dietary Fiber,13.7,0.2,13.2,14.2,,,,
2003-2004,All,2 and over,All,Dietary Fiber,14.8,0.3,14.2,15.5,,,,
2003-2004,Male,2 and over,All,Dietary Fiber,16.4,0.3,15.8,17.1,,,,
2003-2004,Female,2 and over,All,Dietary Fiber,13.3,0.4,12.6,14,,,,
2005-2006,All,2 and over,All,Dietary Fiber,15.1,0.3,14.6,15.6,,,,
2005-2006,Male,2 and over,All,Dietary Fiber,16.8,0.3,16.2,17.4,,,,
2005-2006,Female,2 and over,All,Dietary Fiber,13.5,0.3,13,14.1,,,,
2007-2008,All,2 and over,All,Dietary Fiber,15.2,0.4,14.3,16,,,,
2007-2008,Male,2 and over,All,Dietary Fiber,16.6,0.5,15.7,17.6,,,,
2007-2008,Female,2 and over,All,Dietary Fiber,13.8,0.4,12.9,14.6,,,,
2009-2010,All,2 and over,All,Dietary Fiber,16.2,0.2,15.8,16.6,,,,
2009-2010,Male,2 and over,All,Dietary Fiber,17.6,0.3,17,18.2,,,,
2009-2010,Female,2 and over,All,Dietary Fiber,14.9,0.2,14.6,15.3,,,,
2011-2012,All,2 and over,All,Dietary Fiber,17.2,0.3,16.6,17.8,,,,
2011-2012,Male,2 and over,All,Dietary Fiber,19.1,0.3,18.5,19.8,,,,
2011-2012,Female,2 and over,All,Dietary Fiber,15.3,0.3,14.8,15.9,,,,
2013-2014,All,2 and over,All,Dietary Fiber,16.3,0.2,15.9,16.7,,,,
2013-2014,Male,2 and over,All,Dietary Fiber,17.9,0.3,17.4,18.4,,,,
2013-2014,Female,2 and over,All,Dietary Fiber,14.8,0.3,14.3,15.2,,,,
2015-2016,All,2 and over,All,Dietary Fiber,16.5,0.4,15.8,17.2,,,,
2015-2016,Male,2 and over,All,Dietary Fiber,17.9,0.4,17.1,18.7,,,,
2015-2016,Female,2 and over,All,Dietary Fiber,15.2,0.4,14.4,15.9,,,,
2017-2018,All,2 and over,All,Dietary Fiber,16.2,0.3,15.6,16.9,,,,
2017-2018,Male,2 and over,All,Dietary Fiber,17.5,0.3,16.8,18.1,,,,
2017-2018,Female,2 and over,All,Dietary Fiber,15,0.4,14.3,15.7,,,,
1999-2000,All,2 and over,All,Iron,15.2,0.3,14.5,15.8,,,,
1999-2000,Male,2 and over,All,Iron,17.2,0.4,16.5,17.9,,,,
1999-2000,Female,2 and over,All,Iron,13.2,0.3,12.6,13.8,,,,
2001-2002,All,2 and over,All,Iron,15.5,0.3,15,16,,,,
2001-2002,Male,2 and over,All,Iron,17.8,0.4,17.1,18.6,,,,
2001-2002,Female,2 and over,All,Iron,13.3,0.2,13,13.6,,,,
2003-2004,All,2 and over,All,Iron,15.7,0.2,15.3,16,,,,
2003-2004,Male,2 and over,All,Iron,18,0.2,17.6,18.3,,,,
2003-2004,Female,2 and over,All,Iron,13.4,0.2,13,13.9,,,,
2005-2006,All,2 and over,All,Iron,15.9,0.2,15.5,16.3,,,,
2005-2006,Male,2 and over,All,Iron,18.3,0.2,17.9,18.8,,,,
2005-2006,Female,2 and over,All,Iron,13.6,0.2,13.3,13.9,,,,
2007-2008,All,2 and over,All,Iron,14.8,0.3,14.2,15.3,,,,
2007-2008,Male,2 and over,All,Iron,16.8,0.3,16.1,17.4,,,,
2007-2008,Female,2 and over,All,Iron,12.9,0.3,12.4,13.4,,,,
2009-2010,All,2 and over,All,Iron,14.9,0.1,14.7,15.1,,,,
2009-2010,Male,2 and over,All,Iron,16.9,0.2,16.5,17.2,,,,
2009-2010,Female,2 and over,All,Iron,13.1,0.1,12.8,13.3,,,,
2011-2012,All,2 and over,All,Iron,15.4,0.1,15.2,15.7,,,,
2011-2012,Male,2 and over,All,Iron,17.6,0.2,17.2,17.9,,,,
2011-2012,Female,2 and over,All,Iron,13.3,0.2,12.9,13.7,,,,
2013-2014,All,2 and over,All,Iron,14.4,0.1,14.1,14.7,,,,
2013-2014,Male,2 and over,All,Iron,16.3,0.2,16,16.7,,,,
2013-2014,Female,2 and over,All,Iron,12.5,0.1,12.2,12.8,,,,
2015-2016,All,2 and over,All,Iron,14,0.2,13.6,14.3,,,,
2015-2016,Male,2 and over,All,Iron,15.8,0.2,15.3,16.3,,,,
2015-2016,Female,2 and over,All,Iron,12.2,0.1,12,12.5,,,,
2017-2018,All,2 and over,All,Iron,14,0.2,13.7,14.3,,,,
2017-2018,Male,2 and over,All,Iron,15.7,0.2,15.3,16.1,,,,
2017-2018,Female,2 and over,All,Iron,12.3,0.2,11.9,12.7,,,,
1999-2000,All,2 and over,All,Potassium,"2,643.00",43.8,"2,556.40","2,729.60",,,,
1999-2000,Male,2 and over,All,Potassium,"2,972.80",43,"2,887.90","3,057.70",,,,
1999-2000,Female,2 and over,All,Potassium,"2,329.30",48,"2,234.40","2,424.10",,,,
2001-2002,All,2 and over,All,Potassium,"2,634.50",39,"2,557.50","2,711.60",,,,
2001-2002,Male,2 and over,All,Potassium,"2,996.50",60.1,"2,877.80","3,115.10",,,,
2001-2002,Female,2 and over,All,Potassium,"2,290.80",37.5,"2,216.80","2,364.80",,,,
2003-2004,All,2 and over,All,Potassium,"2,621.80",35.9,"2,550.80","2,692.80",,,,
2003-2004,Male,2 and over,All,Potassium,"2,953.40",42.9,"2,868.60","3,038.20",,,,
2003-2004,Female,2 and over,All,Potassium,"2,303.40",33.9,"2,236.40","2,370.30",,,,
2005-2006,All,2 and over,All,Potassium,"2,617.10",33.9,"2,550.10","2,684.10",,,,
2005-2006,Male,2 and over,All,Potassium,"2,978.20",39.1,"2,900.90","3,055.40",,,,
2005-2006,Female,2 and over,All,Potassium,"2,273.30",31.4,"2,211.20","2,335.40",,,,
2007-2008,All,2 and over,All,Potassium,"2,509.40",46.2,"2,418.10","2,600.80",,,,
2007-2008,Male,2 and over,All,Potassium,"2,840.50",48.7,"2,744.30","2,936.70",,,,
2007-2008,Female,2 and over,All,Potassium,"2,204.80",45.8,"2,114.40","2,295.20",,,,
2009-2010,All,2 and over,All,Potassium,"2,640.20",18,"2,604.60","2,675.80",,,,
2009-2010,Male,2 and over,All,Potassium,"2,977.90",33.1,"2,912.50","3,043.30",,,,
2009-2010,Female,2 and over,All,Potassium,"2,319.20",18.4,"2,282.90","2,355.50",,,,
2011-2012,All,2 and over,All,Potassium,"2,664.60",32.6,"2,600.10","2,729.00",,,,
2011-2012,Male,2 and over,All,Potassium,"3,021.40",47.8,"2,927.00","3,115.80",,,,
2011-2012,Female,2 and over,All,Potassium,"2,317.10",35.2,"2,247.60","2,386.50",,,,
2013-2014,All,2 and over,All,Potassium,"2,538.10",28.6,"2,481.50","2,594.70",,,,
2013-2014,Male,2 and over,All,Potassium,"2,866.30",31.7,"2,803.70","2,928.90",,,,
2013-2014,Female,2 and over,All,Potassium,"2,220.20",32.2,"2,156.50","2,283.80",,,,
2015-2016,All,2 and over,All,Potassium,"2,501.70",35.7,"2,431.20","2,572.10",,,,
2015-2016,Male,2 and over,All,Potassium,"2,782.40",39.2,"2,705.00","2,859.80",,,,
2015-2016,Female,2 and over,All,Potassium,"2,235.10",39.5,"2,157.10","2,313.10",,,,
2017-2018,All,2 and over,All,Potassium,"2,496.30",31.2,"2,434.70","2,557.90",,,,
2017-2018,Male,2 and over,All,Potassium,"2,767.40",35.9,"2,696.50","2,838.30",,,,
2017-2018,Female,2 and over,All,Potassium,"2,238.20",41.5,"2,156.30","2,320.20",,,,
1999-2000,All,2 and over,All,Saturated Fat,26.9,0.4,26.1,27.6,,,,
1999-2000,Male,2 and over,All,Saturated Fat,31.1,0.4,30.2,31.9,,,,
1999-2000,Female,2 and over,All,Saturated Fat,22.8,0.4,22.2,23.5,,,,
2001-2002,All,2 and over,All,Saturated Fat,26.5,0.3,25.9,27.1,,,,
2001-2002,Male,2 and over,All,Saturated Fat,30.9,0.5,29.9,32,,,,
2001-2002,Female,2 and over,All,Saturated Fat,22.2,0.2,21.8,22.7,,,,
2003-2004,All,2 and over,All,Saturated Fat,27.7,0.2,27.2,28.1,,,,
2003-2004,Male,2 and over,All,Saturated Fat,31.7,0.4,30.9,32.4,,,,
2003-2004,Female,2 and over,All,Saturated Fat,23.8,0.3,23.3,24.3,,,,
2005-2006,All,2 and over,All,Saturated Fat,27.8,0.5,26.9,28.8,,,,
2005-2006,Male,2 and over,All,Saturated Fat,32.6,0.6,31.5,33.7,,,,
2005-2006,Female,2 and over,All,Saturated Fat,23.3,0.4,22.4,24.2,,,,
2007-2008,All,2 and over,All,Saturated Fat,26.3,0.5,25.4,27.2,,,,
2007-2008,Male,2 and over,All,Saturated Fat,30.5,0.6,29.5,31.6,,,,
2007-2008,Female,2 and over,All,Saturated Fat,22.5,0.4,21.7,23.3,,,,
2009-2010,All,2 and over,All,Saturated Fat,25.5,0.3,24.9,26.1,,,,
2009-2010,Male,2 and over,All,Saturated Fat,29.5,0.6,28.4,30.6,,,,
2009-2010,Female,2 and over,All,Saturated Fat,21.7,0.2,21.4,22,,,,
2011-2012,All,2 and over,All,Saturated Fat,26.2,0.4,25.5,26.9,,,,
2011-2012,Male,2 and over,All,Saturated Fat,30.1,0.5,29.1,31.1,,,,
2011-2012,Female,2 and over,All,Saturated Fat,22.4,0.4,21.6,23.2,,,,
2013-2014,All,2 and over,All,Saturated Fat,26.3,0.2,25.8,26.7,,,,
2013-2014,Male,2 and over,All,Saturated Fat,30.1,0.4,29.4,30.8,,,,
2013-2014,Female,2 and over,All,Saturated Fat,22.6,0.2,22.1,23,,,,
2015-2016,All,2 and over,All,Saturated Fat,27.1,0.4,26.2,27.9,,,,
2015-2016,Male,2 and over,All,Saturated Fat,30.7,0.7,29.4,31.9,,,,
2015-2016,Female,2 and over,All,Saturated Fat,23.6,0.3,23.1,24.2,,,,
2017-2018,All,2 and over,All,Saturated Fat,28,0.3,27.4,28.6,,,,
2017-2018,Male,2 and over,All,Saturated Fat,31.8,0.4,31,32.6,,,,
2017-2018,Female,2 and over,All,Saturated Fat,24.4,0.4,23.7,25.1,,,,
1999-2000,All,2 and over,All,Sodium,"3,382.20",51.3,"3,280.80","3,483.60",,,,
