OVRL_HEALTH,SELFDESC_WEIGHT,MIN_MOD_PA,MIN_VIG_PA,DAY_STR_EXR,SUB_ANY_TOBACCO,SUB_ANY_ALCOHOL,SUB_ANY_CANNABIS,SUB_3MO_TOBACCO,SUB_3MO_ALCOHOL,SUB_3MO_CANNABIS,AGE,SUGAR_7D
Good,About the right weight,100,20,1,Yes,Yes,Yes,Never,Weekly,Never,29,0
Very Good,About the right weight,40,20,0,Yes,Yes,Yes,Never,Monthly,Never,33,1
Very Good,Slightly underweight,240,0,3,No,Yes,No,,Once or twice,,19,2
Fair,Slightly overweight,90,30,2,No,Yes,No,,Monthly,,32,0
Very Good,About the right weight,180,60,3,Yes,Yes,Yes,Never,Weekly,Weekly,37,0
Good,Slightly overweight,300,60,6,Yes,Yes,No,Weekly,Monthly,,23,0
Excellent,About the right weight,200,200,5,No,No,No,,,,32,2
Very Good,About the right weight,60,0,6,No,Yes,Yes,,Daily or almost daily,Once or twice,36,1
Good,About the right weight,300,200,7,No,Yes,Yes,,Monthly,Monthly,20,0
Good,Slightly underweight,120,0,1,No,No,No,,,,19,2
Very Good,Slightly overweight,140,185,3,No,No,No,,,,20,1
Excellent,Slightly overweight,120,0,0,No,No,No,,,,30,5
Fair,About the right weight,300,0,0,No,Yes,Yes,,Weekly,Monthly,19,0
Very Good,About the right weight,185,0,0,No,No,No,,,,21,3
Poor,Slightly overweight,0,0,0,No,Yes,Yes,,Monthly,Weekly,21,1
Good,Very overweight,40,0,2,No,No,No,,,,26,0
Good,About the right weight,300,300,3,Yes,Yes,Yes,Never,Monthly,Weekly,20,16
Good,Slightly underweight,120,45,3,Yes,Yes,Yes,Once or twice,Weekly,Weekly,21,8
Excellent,Slightly underweight,60,180,3,Yes,Yes,Yes,Once or twice,Once or twice,Monthly,20,1
Excellent,About the right weight,60,50,0,No,Yes,No,,Once or twice,,20,3
Fair,About the right weight,180,30,3,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,20,1
Good,Slightly underweight,240,60,0,No,Yes,No,,Monthly,,21,2
,Slightly overweight,45,160,3,Yes,No,Yes,Once or twice,,Once or twice,24,0
Excellent,About the right weight,45,0,0,No,No,No,,,,20,0
Excellent,Slightly overweight,45,0,0,No,Yes,No,,Once or twice,,28,1
Excellent,About the right weight,420,0,0,No,Yes,Yes,,Monthly,Once or twice,20,0
Very Good,Slightly underweight,210,210,5,No,Yes,Yes,,Once or twice,Once or twice,20,1
Good,About the right weight,30,30,3,No,No,No,,,,20,0
Very Good,About the right weight,15,0,1,Yes,Yes,Yes,Never,Once or twice,Daily or almost daily,21,5
Very Good,Slightly overweight,80,400,5,Yes,Yes,Yes,Never,Weekly,Never,21,0
Very Good,Slightly overweight,120,120,2,No,Yes,No,,Once or twice,,20,0
Excellent,About the right weight,180,60,7,No,No,No,,,,20,0
Good,About the right weight,120,225,5,No,Yes,No,,Weekly,,20,2
Very Good,About the right weight,360,900,6,Yes,Yes,Yes,Daily or almost daily,Weekly,Weekly,21,0
Very Good,About the right weight,180,150,4,No,Yes,No,,Once or twice,,21,0
Good,Slightly overweight,510,540,2,Yes,Yes,No,Never,Monthly,,20,4
Very Good,Slightly overweight,60,30,0,No,Yes,Yes,,Weekly,Daily or almost daily,20,0
Very Good,About the right weight,510,240,2,Yes,Yes,Yes,Daily or almost daily,Monthly,Once or twice,20,0
Very Good,About the right weight,45,0,0,No,Yes,Yes,,Never,Never,26,0
Excellent,About the right weight,60,0,1,Yes,Yes,Yes,Never,Once or twice,Once or twice,20,2
Poor,About the right weight,48,48,4,Yes,No,Yes,Never,,Never,21,5
,About the right weight,120,80,3,No,Yes,Yes,,Monthly,Daily or almost daily,21,24
Excellent,About the right weight,120,150,1,No,Yes,No,,Once or twice,,20,1
Excellent,About the right weight,60,40,5,No,Yes,No,,Daily or almost daily,,25,0
Good,Very overweight,240,60,1,No,Yes,No,,Weekly,,30,3
Good,Slightly overweight,400,30,0,No,No,No,,,,21,2
Good,About the right weight,120,0,0,Yes,Yes,Yes,Never,Weekly,Monthly,19,0
Good,Very overweight,300,60,5,No,Yes,No,,Once or twice,,20,3
Good,About the right weight,120,60,0,Yes,Yes,Yes,Never,Once or twice,Never,20,2
Very Good,Very overweight,360,60,2,No,No,No,,,,44,0
Good,Slightly underweight,120,0,1,No,Yes,Yes,,Once or twice,Never,20,0
Very Good,About the right weight,500,100,4,No,Yes,No,,Weekly,,21,1
Fair,About the right weight,60,0,0,No,No,No,,,,20,2
Fair,Slightly overweight,60,10,1,No,Yes,No,,Never,,20,11
Very Good,About the right weight,120,0,3,No,Yes,,,Once or twice,,23,0
Very Good,About the right weight,30,0,0,No,No,No,,,,20,0
Good,Slightly overweight,300,250,0,Yes,Yes,Yes,Once or twice,Weekly,Daily or almost daily,21,0
Very Good,About the right weight,420,80,0,No,No,No,,,,20,0
Very Good,About the right weight,60,30,0,No,No,No,,,,26,0
Good,About the right weight,560,20,1,No,No,No,,,,20,4
Good,Slightly overweight,60,0,0,No,No,No,,,,20,1
Fair,About the right weight,210,,1,No,No,No,,,,20,8
Good,About the right weight,30,20,3,No,No,Yes,,,Once or twice,21,3
Very Good,Slightly underweight,30,30,1,No,No,No,,,,20,6
Very Good,About the right weight,300,0,0,Yes,Yes,Yes,Never,Once or twice,Never,23,3
Very Good,About the right weight,1020,60,1,No,No,No,,,,21,3
Good,Slightly overweight,300,180,6,Yes,Yes,Yes,Daily or almost daily,Monthly,Daily or almost daily,21,0
Good,Slightly underweight,420,300,5,Yes,Yes,Yes,Daily or almost daily,Monthly,Daily or almost daily,20,5
Good,About the right weight,30,0,1,Yes,Yes,Yes,Weekly,Weekly,Daily or almost daily,20,7
Good,About the right weight,240,30,0,Yes,Yes,Yes,Never,Monthly,Never,21,1
Fair,About the right weight,140,120,4,Yes,Yes,Yes,Never,Weekly,Never,20,2
Good,About the right weight,120,30,0,Yes,Yes,Yes,Never,Never,Never,20,1
Fair,About the right weight,100,100,4,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,20,1
Fair,Very underweight,40,0,0,Yes,Yes,Yes,Daily or almost daily,Weekly,Daily or almost daily,21,2
Very Good,About the right weight,200,90,5,No,No,No,,,,20,0
Very Good,Slightly overweight,420,0,0,No,No,No,,,,20,1
Very Good,Slightly overweight,120,1,0,Yes,Yes,Yes,Daily or almost daily,Weekly,Weekly,20,2
Very Good,Slightly underweight,175,0,0,No,Yes,No,,Never,,20,0
Very Good,Slightly underweight,200,150,4,No,No,No,,,,20,0
Good,Slightly overweight,90,30,4,No,Yes,Yes,,Weekly,Monthly,,3
Very Good,About the right weight,90,0,0,No,Yes,Yes,,Monthly,Daily or almost daily,20,0
Good,About the right weight,30,30,4,No,Yes,No,,Once or twice,,21,0
Very Good,Slightly overweight,120,0,0,No,No,No,,,,20,0
Good,About the right weight,400,100,1,No,No,No,,,,20,1
Very Good,About the right weight,60,0,6,No,No,No,,,,20,0
Good,About the right weight,1400,60,0,No,No,No,,,,20,1
Fair,Slightly overweight,120,300,4,No,Yes,No,,Monthly,,20,2
Excellent,Slightly underweight,1600,400,3,No,No,No,,,,21,2
,Very overweight,120,120,4,Yes,Yes,Yes,Weekly,Monthly,Daily or almost daily,20,2
Good,Slightly overweight,210,45,3,Yes,Yes,Yes,Daily or almost daily,Once or twice,Daily or almost daily,21,2
Very Good,Slightly overweight,75,30,0,No,Yes,Yes,,Once or twice,Weekly,20,2
Very Good,Slightly overweight,300,200,5,No,Yes,No,,Monthly,,21,0
Excellent,About the right weight,120,120,3,No,Yes,Yes,,Once or twice,Never,21,0
Good,Very overweight,30,20,3,No,No,No,,,,20,1
Good,Slightly underweight,500,0,1,No,Yes,Yes,,Once or twice,Once or twice,21,0
Very Good,About the right weight,100,150,4,No,Yes,Yes,,Never,Never,35,0
Good,Slightly overweight,60,0,0,No,Yes,Yes,,Once or twice,Daily or almost daily,20,10
Very Good,About the right weight,60,0,1,No,Yes,No,,Once or twice,,20,6
Fair,Slightly underweight,1260,540,3,No,Yes,No,,Monthly,,20,3
Fair,About the right weight,60,0,0,No,No,No,,,,20,1
Good,Very overweight,180,120,3,No,Yes,No,,Once or twice,,20,1
Fair,About the right weight,60,0,0,Yes,Yes,Yes,Never,Never,Never,20,0
Very Good,Very overweight,420,,0,No,Yes,No,,Once or twice,,20,24
Very Good,About the right weight,60,30,2,Yes,Yes,Yes,Never,Once or twice,Once or twice,20,0
Very Good,About the right weight,90,2,1,Yes,Yes,Yes,Never,Weekly,Never,20,24
Very Good,About the right weight,40,250,5,No,No,No,,,,21,0
Good,Slightly overweight,300,120,4,No,No,No,,,,20,2
Fair,Slightly overweight,1260,180,3,No,No,No,,,,20,2
Very Good,Slightly overweight,70,0,7,No,Yes,Yes,,Once or twice,Never,21,1
Very Good,About the right weight,300,60,2,No,No,No,,,,20,0
Good,About the right weight,30,0,1,Yes,Yes,Yes,Never,Monthly,Weekly,20,1
Fair,About the right weight,20,120,0,Yes,Yes,Yes,Daily or almost daily,Monthly,Daily or almost daily,20,20
Very Good,Slightly overweight,300,200,0,No,Yes,Yes,,Weekly,Daily or almost daily,20,2
Fair,About the right weight,30,0,1,No,No,No,,,,20,0
Excellent,About the right weight,120,120,0,No,No,No,,,,,2
Good,Very overweight,60,0,0,No,No,No,,,,24,7
Good,About the right weight,120,240,1,No,Yes,No,,Monthly,,22,5
Good,Slightly underweight,300,7,0,Yes,Yes,Yes,Never,Once or twice,Never,20,0
Good,About the right weight,75,30,1,Yes,Yes,Yes,Never,Once or twice,Never,18,5
Excellent,Slightly overweight,180,120,3,No,No,No,,,,21,4
Very Good,Slightly overweight,120,0,2,Yes,Yes,Yes,Daily or almost daily,Once or twice,Daily or almost daily,20,
Very Good,Slightly overweight,300,120,5,Yes,Yes,Yes,Never,Once or twice,Never,20,2
Good,About the right weight,0,0,0,No,No,No,,,,21,12
Very Good,Very underweight,300,0,1,No,Yes,No,,Once or twice,,21,1
Good,About the right weight,600,300,4,No,Yes,Yes,,Weekly,Never,22,0
Good,About the right weight,100,30,2,No,Yes,No,,Never,,20,0
Good,Slightly underweight,700,60,4,No,No,Yes,,,Monthly,21,2
Very Good,Slightly overweight,60,60,1,No,Yes,Yes,,Once or twice,Daily or almost daily,29,1
Good,Slightly underweight,60,0,0,No,Yes,No,,Once or twice,,21,0
Good,Slightly overweight,60,60,2,No,Yes,Yes,,Once or twice,Daily or almost daily,20,1
Good,Very overweight,10,0,2,Yes,No,Yes,Weekly,,Monthly,21,0
Good,About the right weight,60,0,0,Yes,Yes,Yes,Never,Never,Never,20,1
Good,About the right weight,30,0,5,No,No,No,,,,21,2
Very Good,Slightly underweight,30,20,5,No,No,No,,,,29,0
Very Good,About the right weight,60,0,0,Yes,Yes,Yes,Never,Once or twice,Never,25,0
Good,Slightly underweight,120,30,4,No,Yes,Yes,,Once or twice,Weekly,20,4
Very Good,About the right weight,60,30,0,Yes,Yes,Yes,Once or twice,Once or twice,Daily or almost daily,20,4
Good,About the right weight,210,0,0,No,Yes,No,,Never,,20,1
Very Good,About the right weight,2,0,0,Yes,Yes,Yes,Never,Once or twice,Never,21,2
Fair,Slightly overweight,30,0,0,,,,,,,20,
Fair,Slightly underweight,120,0,0,No,Yes,Yes,,Once or twice,Daily or almost daily,21,3
Good,About the right weight,420,600,4,Yes,Yes,Yes,Never,Weekly,Once or twice,21,0
Very Good,About the right weight,60,120,1,No,Yes,Yes,,Monthly,Never,21,0
Good,Slightly underweight,60,0,0,Yes,No,Yes,Daily or almost daily,,Daily or almost daily,20,3
Good,Slightly overweight,120,20,1,No,Yes,Yes,,Monthly,Once or twice,20,24
Good,About the right weight,60,60,1,No,Yes,No,,Once or twice,,30,0
Fair,Slightly overweight,360,120,2,Yes,Yes,Yes,Never,Weekly,Monthly,20,0
Good,Very overweight,60,60,4,No,No,No,,,,20,1
Very Good,About the right weight,500,120,2,Yes,Yes,Yes,Never,Monthly,Never,25,1
,Slightly overweight,180,0,0,Yes,No,Yes,Once or twice,,Weekly,20,5
,Very overweight,0,0,0,No,No,No,,,,22,0
Good,Slightly underweight,90,0,0,No,No,No,,,,20,0
Very Good,About the right weight,240,180,2,No,Yes,No,,Never,,20,4
Very Good,Slightly overweight,60,0,0,No,Yes,No,,Once or twice,,21,2
Good,About the right weight,180,0,0,No,No,No,,,,20,3
Very Good,About the right weight,30,20,1,No,No,No,,,,21,3
Very Good,About the right weight,250,350,7,Yes,Yes,Yes,Once or twice,Once or twice,Weekly,21,3
Very Good,About the right weight,60,60,1,No,No,No,,,,21,0
Excellent,About the right weight,30,30,5,No,No,No,,,,20,3
Fair,Slightly overweight,240,420,6,No,No,No,,,,20,0
,Slightly overweight,30,0,0,No,No,No,,,,21,0
Good,Very overweight,45,60,0,No,Yes,Yes,,Once or twice,Once or twice,21,0
Fair,Slightly overweight,30,10,4,No,No,No,,,,20,1
Very Good,Slightly overweight,120,30,0,No,Yes,No,,Monthly,,21,1
Fair,About the right weight,240,0,0,No,No,No,,,,21,1
Very Good,About the right weight,30,0,3,No,No,No,,,,21,0
Very Good,About the right weight,60,60,4,Yes,Yes,Yes,Never,Once or twice,Weekly,20,6
Good,About the right weight,300,60,2,No,No,No,,,,20,3
Very Good,About the right weight,500,200,3,No,No,No,,,,21,3
Very Good,About the right weight,160,120,1,No,Yes,No,,Never,,20,1
Fair,Very overweight,30,0,1,Yes,Yes,Yes,Once or twice,Once or twice,Daily or almost daily,20,1
Fair,Slightly overweight,180,0,0,Yes,Yes,Yes,Never,Monthly,Never,21,0
Good,About the right weight,120,0,0,No,No,No,,,,22,8
Poor,Slightly overweight,15,0,5,Yes,Yes,Yes,Daily or almost daily,Weekly,Daily or almost daily,21,2
Good,About the right weight,480,120,3,No,Yes,No,,Weekly,,21,5
Very Good,Slightly overweight,400,0,0,No,Yes,Yes,,Monthly,Daily or almost daily,20,5
Very Good,About the right weight,60,70,1,No,Yes,Yes,,Once or twice,Once or twice,20,2
Good,About the right weight,60,400,6,No,No,No,,,,20,0
Good,About the right weight,120,0,0,No,Yes,Yes,,Once or twice,Once or twice,21,0
Good,Very overweight,120,75,3,Yes,No,No,Never,,,20,1
Very Good,About the right weight,240,240,4,Yes,Yes,Yes,Monthly,Once or twice,Daily or almost daily,20,2
Very Good,Slightly overweight,120,20,1,Yes,Yes,Yes,Once or twice,Once or twice,Never,20,0
Very Good,About the right weight,80,180,4,Yes,Yes,Yes,Once or twice,Once or twice,Monthly,20,4
Good,Slightly overweight,2880,120,0,No,Yes,Yes,,Once or twice,Weekly,20,2
Good,Slightly underweight,120,0,1,No,Yes,Yes,,Never,Never,28,0
Good,Slightly overweight,60,0,0,No,Yes,Yes,,Weekly,Monthly,24,0
Very Good,Slightly overweight,120,30,0,No,No,No,,,,21,2
Good,About the right weight,0,0,0,No,No,No,,,,20,1
Fair,Slightly overweight,,,,No,No,No,,,,20,0
Very Good,Slightly underweight,50,20,0,No,No,No,,,,21,8
Fair,Slightly overweight,120,0,0,No,No,No,,,,20,2
Very Good,About the right weight,160,30,7,Yes,Yes,Yes,Once or twice,Monthly,Once or twice,20,0
Good,Slightly overweight,60,0,0,No,Yes,No,,Monthly,,25,0
Good,About the right weight,300,360,3,No,No,No,,,,20,0
Fair,Very overweight,100,0,0,Yes,Yes,Yes,Never,Once or twice,Once or twice,20,1
Good,About the right weight,40,0,3,No,Yes,No,,Weekly,,21,9
Good,Very underweight,2520,,0,Yes,Yes,Yes,Daily or almost daily,Weekly,Daily or almost daily,20,6
Very Good,About the right weight,120,0,0,Yes,Yes,Yes,Never,Monthly,Never,20,0
Very Good,About the right weight,30,0,1,No,No,No,,,,22,1
Good,About the right weight,60,0,5,No,Yes,No,,Once or twice,,20,0
Good,Slightly overweight,180,0,0,No,No,No,,,,22,4
Good,Slightly overweight,350,0,0,No,Yes,No,,Weekly,,30,3
Very Good,About the right weight,30,0,0,No,No,No,,,,20,2
Good,Slightly overweight,120,0,1,Yes,Yes,No,Never,Never,,20,0
Very Good,Very overweight,2,0,0,No,No,No,,,,24,0
Very Good,About the right weight,300,100,5,Yes,Yes,Yes,Never,Never,Once or twice,20,0
Good,Very overweight,120,120,2,No,Yes,No,,Weekly,,32,0
Fair,Slightly overweight,30,0,0,No,No,No,,,,20,8
Fair,About the right weight,120,30,2,Yes,Yes,Yes,Daily or almost daily,Weekly,Daily or almost daily,20,4
Good,About the right weight,240,0,0,Yes,Yes,Yes,Never,Monthly,Once or twice,21,0
Fair,Slightly overweight,30,0,0,No,No,No,,,,20,1
Very Good,Slightly overweight,480,120,1,No,No,No,,,,20,2
Very Good,Slightly overweight,420,420,7,No,Yes,No,,Monthly,,21,0
Very Good,About the right weight,300,100,2,No,Yes,Yes,,Weekly,Once or twice,23,3
Excellent,About the right weight,60,0,0,No,Yes,Yes,,Weekly,Never,33,0
Fair,About the right weight,140,120,4,No,Yes,No,,Monthly,,24,6
Good,Slightly overweight,90,60,1,No,No,No,,,,20,5
Good,Slightly overweight,90,0,0,No,No,No,,,,24,0
,Very overweight,10,,1,No,No,No,,,,51,0
Fair,Very overweight,7,0,7,No,Yes,Yes,,Weekly,Once or twice,27,0
Very Good,About the right weight,15,45,5,No,Yes,Yes,,Weekly,Once or twice,20,1
Fair,Slightly overweight,90,120,3,Yes,Yes,No,Never,Once or twice,,25,1
Good,About the right weight,430,90,3,Yes,Yes,Yes,Never,Weekly,Never,21,12
Very Good,Slightly overweight,840,0,0,No,Yes,No,,Never,,20,0
Good,About the right weight,600,0,1,No,No,No,,,,21,0
Good,Slightly overweight,60,0,3,No,No,No,,,,21,0
Fair,About the right weight,240,0,0,No,Yes,Yes,,Weekly,Daily or almost daily,20,4
Very Good,About the right weight,60,30,3,No,No,No,,,,23,0
Good,About the right weight,90,60,7,No,No,No,,,,20,0
Very Good,About the right weight,360,180,2,No,Yes,Yes,,Once or twice,Never,21,6
Very Good,Slightly overweight,180,180,4,No,No,No,,,,20,2
Poor,Very underweight,900,0,0,No,Yes,Yes,,Monthly,Weekly,22,1
Good,About the right weight,120,0,3,No,Yes,Yes,,Once or twice,Never,20,0
Good,About the right weight,360,30,2,No,Yes,Yes,,Once or twice,Once or twice,20,0
Good,About the right weight,30,0,1,No,Yes,Yes,,Weekly,Monthly,21,2
Good,Slightly overweight,1260,120,2,No,Yes,No,,Once or twice,,22,3
Good,About the right weight,400,400,5,Yes,Yes,Yes,Once or twice,Once or twice,Daily or almost daily,32,4
Very Good,Slightly overweight,120,0,0,Yes,Yes,Yes,Never,Daily or almost daily,Weekly,53,0
Poor,Slightly underweight,60,0,0,No,No,No,,,,20,8
Fair,Very overweight,120,0,0,No,Yes,Yes,,Once or twice,Weekly,20,2
Fair,About the right weight,110,0,4,Yes,Yes,Yes,Monthly,Monthly,Never,20,1
Very Good,About the right weight,180,240,3,No,Yes,Yes,,Monthly,Daily or almost daily,28,4
Excellent,About the right weight,260,0,0,Yes,Yes,Yes,Once or twice,Weekly,Weekly,54,1
Very Good,About the right weight,90,30,0,No,Yes,Yes,,Weekly,Weekly,34,5
Fair,About the right weight,45,0,7,No,Yes,No,,Once or twice,,28,0
Good,About the right weight,720,0,0,Yes,Yes,No,Weekly,Daily or almost daily,,20,0
Very Good,Slightly underweight,150,40,1,Yes,Yes,Yes,Never,Never,Never,35,0
Good,About the right weight,120,30,2,No,Yes,Yes,,Once or twice,Once or twice,21,4
Very Good,About the right weight,300,60,2,No,Yes,Yes,,Weekly,Once or twice,34,0
Good,About the right weight,120,30,0,No,Yes,No,,Once or twice,,41,2
Good,Slightly overweight,300,0,2,No,Yes,Yes,,Weekly,Weekly,31,1
Good,Slightly underweight,420,60,2,No,Yes,Yes,,Weekly,Daily or almost daily,30,2
Fair,Slightly overweight,150,0,0,Yes,Yes,Yes,Never,Weekly,Never,37,0
Very Good,Slightly underweight,300,90,1,No,No,No,,,,30,29
Poor,About the right weight,60,0,2,Yes,Yes,Yes,Never,Never,Once or twice,37,0
Very Good,About the right weight,120,30,1,No,Yes,No,,Monthly,,44,1
Very Good,Slightly underweight,300,0,0,No,No,No,,,,20,6
Very Good,Slightly overweight,900,0,0,No,No,No,,,,26,4
Good,Slightly overweight,120,0,0,No,No,Yes,,,Daily or almost daily,36,0
Excellent,About the right weight,420,0,0,Yes,Yes,Yes,Monthly,Once or twice,Never,20,3
Good,About the right weight,780,0,3,Yes,Yes,No,Never,Once or twice,,20,9
Good,Slightly overweight,450,0,0,No,Yes,Yes,,Monthly,Never,22,1
Very Good,Very overweight,60,30,2,No,Yes,No,,Once or twice,,55,12
Good,Slightly overweight,35,0,0,No,Yes,No,,Once or twice,,27,5
Good,Slightly overweight,420,0,1,No,Yes,No,,Never,,29,1
Good,Slightly overweight,125,60,2,Yes,Yes,Yes,Never,Daily or almost daily,Once or twice,52,5
Fair,About the right weight,30,0,0,Yes,Yes,Yes,Daily or almost daily,Daily or almost daily,Daily or almost daily,24,0
Good,Slightly underweight,60,30,2,No,Yes,No,,Once or twice,,30,2
Fair,Slightly overweight,30,0,0,Yes,Yes,Yes,Never,Once or twice,Never,,1
Good,About the right weight,630,14,4,No,Yes,Yes,,Monthly,Once or twice,22,3
Good,About the right weight,60,0,1,No,Yes,No,,Once or twice,,24,3
Very Good,About the right weight,180,300,0,No,Yes,Yes,,Monthly,Monthly,26,0
Very Good,Very overweight,30,0,1,Yes,Yes,Yes,Never,Once or twice,Never,38,3
Good,Slightly overweight,300,120,0,No,Yes,No,,Weekly,,24,5
Good,About the right weight,60,0,0,No,Yes,Yes,,Monthly,Once or twice,28,1
Good,Slightly overweight,120,0,2,Yes,Yes,Yes,Never,Monthly,Weekly,24,0
Very Good,About the right weight,420,30,1,No,No,No,,,,40,0
Good,Slightly overweight,240,120,1,No,No,,,,,43,1
Excellent,About the right weight,420,180,3,No,No,No,,,,59,0
Good,About the right weight,120,0,1,No,Yes,No,,Never,,49,1
Very Good,Slightly underweight,120,50,2,No,Yes,No,,Weekly,,49,6
Very Good,Slightly overweight,400,60,0,Yes,Yes,Yes,Never,Weekly,Weekly,40,0
Fair,Very overweight,0,0,0,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,38,3
Good,Slightly overweight,3600,120,0,Yes,Yes,Yes,Once or twice,Monthly,Once or twice,31,1
Good,Slightly overweight,180,30,3,No,Yes,No,,Never,,56,1
Very Good,About the right weight,600,300,5,No,No,No,,,,19,7
Good,About the right weight,200,100,5,No,No,No,,,,19,0
Very Good,Slightly underweight,10,5,4,No,No,No,,,,18,5
Good,Very overweight,60,60,1,No,No,No,,,,18,0
Good,Slightly underweight,102,0,0,No,Yes,Yes,,Never,Once or twice,20,1
Excellent,Slightly overweight,60,240,4,Yes,Yes,Yes,Weekly,Once or twice,Never,39,0
Fair,Slightly overweight,200,50,0,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,28,0
Very Good,About the right weight,120,60,0,No,Yes,No,,Once or twice,,32,4
Good,Very overweight,120,0,0,No,Yes,Yes,,Monthly,Never,27,0
Very Good,About the right weight,0,0,0,No,No,No,,,,40,0
Very Good,About the right weight,150,100,3,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,29,0
Good,About the right weight,45,45,6,No,No,No,,,,19,0
Very Good,Slightly overweight,50,0,0,No,No,No,,,,20,8
Good,About the right weight,210,0,0,No,Yes,No,,Once or twice,,20,3
Poor,About the right weight,60,115,0,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,23,0
Good,About the right weight,50,0,0,No,Yes,No,,Never,,19,0
Good,About the right weight,300,180,1,No,No,No,,,,19,0
Very Good,About the right weight,180,0,1,Yes,Yes,Yes,Once or twice,Weekly,Monthly,19,10
Excellent,About the right weight,300,140,3,No,No,No,,,,20,0
Good,Slightly overweight,180,0,0,No,Yes,No,,Once or twice,,36,6
Good,Slightly overweight,120,60,2,Yes,Yes,Yes,Never,Monthly,Weekly,19,2
Very Good,About the right weight,60,0,7,No,No,No,,,,20,0
Very Good,About the right weight,300,60,0,No,Yes,Yes,,Weekly,Once or twice,19,0
Good,Slightly overweight,200,30,2,No,No,No,,,,23,29
Good,About the right weight,120,180,3,Yes,Yes,Yes,Weekly,Monthly,Daily or almost daily,19,0
Good,Slightly overweight,10,0,1,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,23,0
Good,Slightly underweight,360,0,2,No,No,Yes,,,Once or twice,19,5
Good,Slightly overweight,900,300,0,No,Yes,Yes,,Once or twice,Once or twice,21,5
Excellent,About the right weight,300,150,5,No,Yes,No,,Once or twice,,20,
Very Good,About the right weight,55,45,4,No,No,No,,,,26,0
Very Good,About the right weight,90,60,3,No,Yes,Yes,,Never,Never,25,0
Very Good,Slightly overweight,1200,180,3,No,Yes,No,,Monthly,,19,3
Very Good,Slightly overweight,300,0,0,Yes,Yes,Yes,Never,Monthly,Once or twice,40,7
Good,Slightly underweight,240,0,0,No,No,No,,,,20,0
Very Good,About the right weight,60,0,5,No,Yes,Yes,,Once or twice,Never,22,0
Excellent,About the right weight,600,500,4,Yes,Yes,Yes,Once or twice,Monthly,Daily or almost daily,20,1
Good,Very underweight,120,60,2,Yes,Yes,Yes,Once or twice,Once or twice,Once or twice,19,0
Fair,Slightly underweight,1800,90,0,Yes,Yes,No,Daily or almost daily,Monthly,,19,0
Good,Slightly overweight,300,280,5,Yes,Yes,Yes,Never,Monthly,Once or twice,24,1
Very Good,Slightly underweight,1260,210,5,No,No,No,,,,19,2
Very Good,About the right weight,600,120,0,No,Yes,No,,Once or twice,,44,3
Good,Very overweight,600,30,6,No,Yes,No,,Once or twice,,23,0
Fair,Slightly overweight,350,120,1,Yes,Yes,Yes,Daily or almost daily,Daily or almost daily,Monthly,35,0
Very Good,About the right weight,180,50,0,No,Yes,Yes,,Daily or almost daily,Daily or almost daily,24,0
,About the right weight,120,30,1,Yes,Yes,Yes,Monthly,Once or twice,Never,19,0
Fair,Slightly overweight,90,0,1,No,Yes,Yes,,Once or twice,Once or twice,20,1
Good,Slightly overweight,30,90,0,No,No,Yes,,,Never,22,2
Fair,About the right weight,60,0,0,No,No,No,,,,19,0
Excellent,About the right weight,190,90,3,No,Yes,No,,Once or twice,,25,3
Very Good,About the right weight,840,60,0,No,No,No,,,,19,10
Fair,Slightly overweight,60,0,0,No,Yes,No,,Once or twice,,19,1
Good,About the right weight,60,0,0,No,No,No,,,,20,16
Good,Slightly overweight,240,0,0,No,No,No,,,,20,1
Very Good,Slightly overweight,500,420,6,No,Yes,No,,Monthly,,20,2
Very Good,About the right weight,500,200,5,No,No,No,,,,19,0
Very Good,About the right weight,190,50,2,No,No,No,,,,19,0
Very Good,About the right weight,200,0,0,No,Yes,No,,Monthly,,21,1
Good,Slightly overweight,90,30,0,Yes,Yes,Yes,Once or twice,Never,Never,39,0
Very Good,About the right weight,180,60,2,Yes,Yes,Yes,Never,Weekly,Once or twice,22,1
Good,Slightly overweight,500,0,2,Yes,Yes,Yes,Never,Monthly,Once or twice,24,2
Good,Slightly overweight,120,40,0,Yes,Yes,Yes,Never,Once or twice,Weekly,24,4
Very Good,About the right weight,30,30,1,No,No,No,,,,24,0
Fair,About the right weight,30,0,0,No,Yes,Yes,,Weekly,Weekly,20,1
Good,About the right weight,540,300,5,Yes,Yes,Yes,Once or twice,Weekly,Daily or almost daily,20,0
Very Good,About the right weight,300,0,2,No,Yes,Yes,,Once or twice,Never,24,1
Good,Slightly overweight,60,10,0,No,Yes,No,,Never,,19,2
Fair,Slightly underweight,1000,60,1,No,Yes,Yes,,Monthly,Daily or almost daily,19,0
Good,About the right weight,120,0,0,Yes,Yes,Yes,Never,Weekly,Weekly,23,7
Excellent,Very overweight,0,0,0,No,No,Yes,,,Once or twice,41,5
,Slightly overweight,50,1,0,Yes,No,Yes,Daily or almost daily,,Daily or almost daily,28,0
